t,x,y
"0,00E+00","4,43E-02","5,59E-01"
"5,00E-01","3,92E-02","5,59E-01"
"1,00E+00","3,70E-02","5,53E-01"
"1,50E+00","1,08E-02","5,55E-01"
"2,00E+00","-2,05E-02","5,51E-01"
"2,50E+00","-3,39E-02","5,50E-01"
"3,00E+00","-4,78E-02","5,50E-01"
"3,50E+00","-6,41E-02","5,47E-01"
"4,00E+00","-6,23E-02","5,45E-01"
"4,50E+00","-5,31E-02","5,46E-01"
"5,00E+00","-3,97E-02","5,46E-01"
"5,50E+00","-2,23E-02","5,50E-01"
"6,00E+00","5,03E-03","5,55E-01"
"6,50E+00","3,23E-02","5,55E-01"
"7,00E+00","4,16E-02","5,55E-01"
"7,50E+00","4,63E-02","5,55E-01"
"8,00E+00","4,51E-02","5,53E-01"
"8,50E+00","3,52E-02","5,53E-01"
"9,00E+00","2,13E-02","5,55E-01"
"9,50E+00","-3,68E-03","5,55E-01"
"1,00E+01","-2,75E-02","5,53E-01"
"1,05E+01","-4,61E-02","5,51E-01"
"1,10E+01","-5,42E-02","5,48E-01"
"1,15E+01","-6,06E-02","5,46E-01"
"1,20E+01","-6,23E-02","5,46E-01"
"1,25E+01","-4,78E-02","5,48E-01"
"1,30E+01","-2,87E-02","5,51E-01"
"1,35E+01","-1,24E-02","5,52E-01"
"1,40E+01","1,20E-02","5,55E-01"
"1,45E+01","3,41E-02","5,55E-01"
"1,50E+01","4,34E-02","5,55E-01"
"1,55E+01","4,74E-02","5,55E-01"
"1,60E+01","4,05E-02","5,55E-01"
"1,65E+01","2,54E-02","5,54E-01"
"1,70E+01","4,45E-03","5,55E-01"
"1,75E+01","-1,65E-02","5,53E-01"
"1,80E+01","-3,85E-02","5,52E-01"
"1,85E+01","-5,42E-02","5,49E-01"
"1,90E+01","-5,94E-02","5,47E-01"
"1,95E+01","-6,12E-02","5,46E-01"
"2,00E+01","-5,36E-02","5,47E-01"
"2,05E+01","-3,80E-02","5,49E-01"
"2,10E+01","-1,82E-02","5,51E-01"
"2,15E+01","9,64E-04","5,52E-01"
"2,20E+01","2,19E-02","5,54E-01"
"2,25E+01","3,81E-02","5,54E-01"
"2,30E+01","4,22E-02","5,54E-01"
"2,35E+01","3,99E-02","5,55E-01"
"2,40E+01","3,06E-02","5,55E-01"
"2,45E+01","1,43E-02","5,53E-01"
"2,50E+01","-7,75E-03","5,53E-01"
"2,55E+01","-2,69E-02","5,53E-01"
"2,60E+01","-4,49E-02","5,52E-01"
"2,65E+01","-5,48E-02","5,49E-01"
"2,70E+01","-5,94E-02","5,47E-01"
"2,75E+01","-5,60E-02","5,48E-01"
"2,80E+01","-4,72E-02","5,49E-01"
"2,85E+01","-2,69E-02","5,51E-01"
"2,90E+01","-8,91E-03","5,51E-01"
"2,95E+01","1,20E-02","5,53E-01"
"3,00E+01","3,12E-02","5,55E-01"
"3,05E+01","3,93E-02","5,55E-01"
"3,10E+01","3,93E-02","5,54E-01"
"3,15E+01","3,35E-02","5,55E-01"
"3,20E+01","2,19E-02","5,55E-01"
"3,25E+01","1,55E-03","5,54E-01"
"3,30E+01","-1,88E-02","5,53E-01"
"3,35E+01","-3,50E-02","5,52E-01"
"3,40E+01","-4,90E-02","5,49E-01"
"3,45E+01","-5,83E-02","5,47E-01"
"3,50E+01","-5,71E-02","5,49E-01"
"3,55E+01","-4,67E-02","5,48E-01"
"3,60E+01","-3,50E-02","5,49E-01"
"3,65E+01","-1,59E-02","5,52E-01"
"3,70E+01","4,45E-03","5,53E-01"
"3,75E+01","2,25E-02","5,55E-01"
"3,80E+01","3,47E-02","5,55E-01"
"3,85E+01","4,05E-02","5,56E-01"
"3,90E+01","3,70E-02","5,56E-01"
"3,95E+01","2,48E-02","5,56E-01"
"4,00E+01","1,20E-02","5,55E-01"
"4,05E+01","-7,17E-03","5,55E-01"
"4,10E+01","-2,75E-02","5,53E-01"
"4,15E+01","-4,26E-02","5,51E-01"
"4,20E+01","-5,13E-02","5,50E-01"
"4,25E+01","-5,77E-02","5,47E-01"
"4,30E+01","-5,25E-02","5,48E-01"
"4,35E+01","-4,09E-02","5,49E-01"
"4,40E+01","-2,58E-02","5,52E-01"
"4,45E+01","-6,01E-03","5,52E-01"
"4,50E+01","1,32E-02","5,53E-01"
"4,55E+01","2,65E-02","5,55E-01"
"4,60E+01","3,58E-02","5,54E-01"
"4,65E+01","3,81E-02","5,55E-01"
"4,70E+01","2,94E-02","5,55E-01"
"4,75E+01","1,78E-02","5,55E-01"
"4,80E+01","-7,78E-04","5,56E-01"
"4,85E+01","-1,88E-02","5,53E-01"
"4,90E+01","-3,56E-02","5,51E-01"
"4,95E+01","-4,96E-02","5,48E-01"
"5,00E+01","-5,60E-02","5,48E-01"
"5,05E+01","-5,31E-02","5,48E-01"
"5,10E+01","-4,67E-02","5,48E-01"
"5,15E+01","-3,21E-02","5,50E-01"
"5,20E+01","-1,30E-02","5,53E-01"
"5,25E+01","5,61E-03","5,54E-01"
"5,30E+01","2,13E-02","5,54E-01"
"5,35E+01","3,23E-02","5,54E-01"
"5,40E+01","3,58E-02","5,53E-01"
"5,45E+01","3,29E-02","5,55E-01"
"5,50E+01","2,19E-02","5,56E-01"
"5,55E+01","7,35E-03","5,55E-01"
"5,60E+01","-1,24E-02","5,54E-01"
"5,65E+01","-3,16E-02","5,53E-01"
"5,70E+01","-4,32E-02","5,52E-01"
"5,75E+01","-5,19E-02","5,49E-01"
"5,80E+01","-5,54E-02","5,46E-01"
"5,85E+01","-4,90E-02","5,47E-01"
"5,90E+01","-3,85E-02","5,51E-01"
"5,95E+01","-2,29E-02","5,51E-01"
"6,00E+01","-4,84E-03","5,52E-01"
"6,05E+01","1,26E-02","5,52E-01"
"6,10E+01","2,77E-02","5,54E-01"
"6,15E+01","3,47E-02","5,53E-01"
"6,20E+01","3,58E-02","5,55E-01"
"6,25E+01","2,59E-02","5,55E-01"
"6,30E+01","1,49E-02","5,55E-01"
"6,35E+01","-2,52E-03","5,55E-01"
"6,40E+01","-2,17E-02","5,54E-01"
"6,45E+01","-3,45E-02","5,52E-01"
"6,50E+01","-4,78E-02","5,49E-01"
"6,55E+01","-5,31E-02","5,49E-01"
"6,60E+01","-5,01E-02","5,48E-01"
"6,65E+01","-4,20E-02","5,49E-01"
"6,70E+01","-3,04E-02","5,51E-01"
"6,75E+01","-1,41E-02","5,53E-01"
"6,80E+01","3,87E-03","5,52E-01"
"6,85E+01","1,84E-02","5,55E-01"
"6,90E+01","3,23E-02","5,53E-01"
"6,95E+01","3,64E-02","5,53E-01"
"7,00E+01","3,12E-02","5,56E-01"
"7,05E+01","1,96E-02","5,55E-01"
"7,10E+01","4,45E-03","5,54E-01"
"7,15E+01","-1,18E-02","5,53E-01"
"7,20E+01","-2,81E-02","5,52E-01"
"7,25E+01","-4,09E-02","5,51E-01"
"7,30E+01","-4,90E-02","5,51E-01"
"7,35E+01","-5,07E-02","5,48E-01"
"7,40E+01","-4,61E-02","5,49E-01"
"7,45E+01","-3,39E-02","5,49E-01"
"7,50E+01","-1,94E-02","5,50E-01"
"7,55E+01","-2,52E-03","5,51E-01"
"7,60E+01","1,26E-02","5,52E-01"
"7,65E+01","2,71E-02","5,53E-01"
"7,70E+01","3,23E-02","5,52E-01"
"7,75E+01","3,35E-02","5,53E-01"
